id,orientation
100000,1
100001,2
100002,1
100003,1
100004,2
100005,3
100006,3
100007,2
100008,0
100009,2
100010,2
100011,3
100012,3
100013,1
100014,0
100015,2
100016,0
100017,0
100018,1
100019,1
100020,3
100021,3
100022,2
100023,2
100024,2
100025,0
100026,3
100027,0
100028,2
100029,2
100030,2
100031,3
100032,1
100033,2
100034,1
100035,0
100036,0
100037,2
100038,1
100039,0
100040,0
100041,1
100042,0
100043,3
100044,2
100045,1
100046,2
100047,2
100048,3
100049,3
100050,0
100051,1
100052,0
100053,2
100054,2
100055,3
100056,3
100057,0
100058,1
100059,3
100060,3
100061,0
100062,0
100063,2
100064,1
100065,0
100066,3
100067,1
100068,2
100069,3
100070,2
100071,1
100072,1
100073,1
100074,1
100075,2
100076,1
100077,2
100078,0
100079,0
100080,2
100081,1
100082,3
100083,3
100084,1
100085,1
100086,1
100087,3
100088,0
100089,2
100090,1
100091,3
100092,1
100093,2
100094,1
100095,2
100096,0
100097,2
100098,1
100099,3
100100,2
100101,1
100102,2
100103,0
100104,3
100105,1
100106,0
100107,2
100108,2
100109,1
100110,1
100111,0
100112,1
100113,1
100114,1
100115,3
100116,2
100117,2
100118,3
100119,0
100120,1
100121,2
100122,2
100123,2
100124,1
100125,2
100126,1
100127,0
100128,3
100129,3
100130,2
100131,2
100132,3
100133,1
100134,2
100135,1
100136,2
100137,3
100138,1
100139,0
100140,1
100141,3
100142,0
100143,2
100144,2
100145,0
100146,3
100147,0
100148,0
100149,3
100150,1
100151,3
100152,3
100153,2
100154,2
100155,1
100156,3
100157,0
100158,0
100159,2
100160,3
100161,0
100162,2
100163,3
100164,1
100165,2
100166,1
100167,1
100168,2
100169,2
100170,1
100171,2
100172,1
100173,3
100174,0
100175,1
100176,3
100177,3
100178,2
100179,2
100180,2
100181,1
100182,1
100183,2
100184,3
100185,0
100186,2
100187,1
100188,2
100189,2
100190,1
100191,1
100192,0
100193,2
100194,0
100195,2
100196,2
100197,3
100198,0
100199,0
100200,0
100201,1
100202,2
100203,3
100204,1
100205,1
100206,1
100207,2
100208,0
100209,0
100210,1
100211,1
100212,2
100213,1
100214,0
100215,3
100216,2
100217,2
100218,3
100219,0
100220,1
100221,3
100222,3
100223,0
100224,0
100225,3
100226,1
100227,1
100228,1
100229,1
100230,1
100231,2
100232,1
100233,0
100234,3
100235,2
100236,0
100237,1
100238,0
100239,0
100240,0
100241,3
100242,2
100243,1
100244,1
100245,3
100246,3
100247,0
100248,0
100249,2
100250,0
100251,2
100252,0
100253,1
100254,2
100255,2
100256,3
100257,3
100258,0
100259,1
100260,3
100261,2
100262,1
100263,1
100264,3
100265,1
100266,0
100267,2
100268,0
100269,0
100270,2
100271,2
100272,1
100273,0
100274,0
100275,0
100276,1
100277,2
100278,2
100279,3
100280,2
100281,1
100282,2
100283,0
100284,0
100285,0
100286,2
100287,0
100288,2
100289,3
100290,2
100291,3
100292,3
100293,0
100294,3
100295,3
100296,2
100297,3
100298,3
100299,1
100300,2
100301,2
100302,3
100303,1
100304,1
100305,2
100306,1
100307,3
100308,3
100309,1
100310,0
100311,0
100312,2
100313,1
100314,3
100315,3
100316,2
100317,0
100318,3
100319,2
100320,0
100321,3
100322,3
100323,3
100324,2
